Ticker,ApiTicker,RS_Rating,base_break,within_buy_range,volume_up_on_break,pivot,buy_upper,current_price,vol_ratio,high_52w,near_high
RGC,US:RGC,99,False,False,False,35.7,37.48500000000001,26.51,0.18585322322049794,83.6,False
ADVB,US:ADVB,98,False,False,False,5.69,5.974500000000001,3.94,2.1607207569540017,5.69,False
AG,US:AG,98,False,False,False,29.97,31.4685,29.41,0.7734224659752359,30.15,True
ALMS,US:ALMS,98,False,False,False,30.6,32.13,29.39,0.3353243987191345,30.6,True
ANRO,US:ANRO,98,False,False,False,19.91,20.9055,18.99,0.3732030019835995,20.908,True
AP,US:AP,98,True,True,False,9.35,9.8175,9.52,0.9104222425820787,9.55,True
AXTI,US:AXTI,98,True,False,True,35.08,36.834,40.97,1.4753651415246731,41.19,True
BE,US:BE,98,False,False,False,176.49,185.3145,174.77,0.9277305438381193,180.9,True
BIOA,US:BIOA,98,False,False,False,22.5,23.625,22.14,0.6629989536721654,24.0,True
BNAI,US:BNAI,98,False,False,False,86.28,90.59400000000001,29.55,0.3271325231116707,86.28,False
BW,US:BW,98,False,False,False,11.57,12.1485,9.13,0.39415938811579593,11.57,False
CAPR,US:CAPR,98,False,False,False,29.4,30.87,28.35,0.43073337294099984,40.37,False
CELC,US:CELC,98,False,False,False,120.315,126.33075000000001,107.38,0.4372300315777245,120.315,True
CLYM,US:CLYM,98,True,False,False,6.39,6.7095,7.09,1.2873537521424845,7.09,True
COGT,US:COGT,98,True,True,False,39.82,41.811,39.97,0.8822133050643531,43.73,True
DSY,US:DSY,98,False,False,False,5.0,5.25,3.37,0.0576402783134098,7.33,False
ERAS,US:ERAS,98,False,False,False,14.0,14.700000000000001,13.46,0.5881334718116694,14.17,True
FIEE,US:FIEE,98,False,False,False,7.95,8.3475,6.42,0.1433758064889115,7.95,False
GLTO,US:GLTO,98,False,False,False,33.99,35.6895,32.3,2.128851223679298,38.325,False
HYMC,US:HYMC,98,False,False,False,56.87,59.7135,48.62,0.9277478505587762,58.73,False
IBRX,US:IBRX,98,False,False,False,12.28,12.894,9.54,2.106706646283575,12.43,False
INTS,US:INTS,98,False,False,False,9.7625,10.250625,7.12,0.10053246111139173,9.7625,False
IPSC,US:IPSC,98,False,False,False,2.71,2.8455,2.18,0.3971371793758397,2.71,False
JNUG,US:JNUG,98,False,False,False,362.0,380.1,320.5,0.6851347852718123,363.0,True
KOD,US:KOD,98,False,False,False,28.78,30.219,27.62,0.5080969271241853,31.18,True
LFWD,US:LFWD,98,False,False,False,6.9996,7.3495800000000004,6.02,0.2668313368242373,6.9996,True
LITE,US:LITE,98,True,True,False,698.5,733.4250000000001,723.39,1.0113707003503976,765.0,True
MULL,US:MULL,98,False,False,False,216.206,227.0163,184.1,0.8199584731502347,216.206,True
MUU,US:MUU,98,False,False,False,249.1,261.555,207.63,0.862607358297439,249.1,False
NUAI,US:NUAI,98,False,False,False,8.38,8.799000000000001,4.9,0.5193382496243627,9.445,False
ONDS,US:ONDS,98,False,False,False,13.08,13.734,10.3,0.7411494560997905,15.28,False
OPTX,US:OPTX,98,False,False,False,9.15,9.6075,6.97,0.16288192255639772,9.15,False
PL,US:PL,98,False,False,False,28.7,30.135,24.63,0.6345866111410579,30.898,False
